SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20190614,36467W109,GME,149692.0,GAMESTOP CORP (HLDG CO) CL A,5.70
20190617,36467W109,GME,66729.0,GAMESTOP CORP (HLDG CO) CL A,5.63
20190618,36467W109,GME,451239.0,GAMESTOP CORP (HLDG CO) CL A,5.70
20190619,36467W109,GME,3018.0,GAMESTOP CORP (HLDG CO) CL A,5.73
20190620,36467W109,GME,113728.0,GAMESTOP CORP (HLDG CO) CL A,5.63
20190621,36467W109,GME,220842.0,GAMESTOP CORP (HLDG CO) CL A,5.53
20190624,36467W109,GME,307396.0,GAMESTOP CORP (HLDG CO) CL A,5.42
20190625,36467W109,GME,373593.0,GAMESTOP CORP (HLDG CO) CL A,5.37
20190626,36467W109,GME,480948.0,GAMESTOP CORP (HLDG CO) CL A,5.45
20190627,36467W109,GME,73606.0,GAMESTOP CORP (HLDG CO) CL A,5.47
20190628,36467W109,GME,47873.0,GAMESTOP CORP (HLDG CO) CL A,5.54
20190701,36467W109,GME,134231.0,GAMESTOP CORP (HLDG CO) CL A,5.47
20190702,36467W109,GME,141605.0,GAMESTOP CORP (HLDG CO) CL A,5.36
20190703,36467W109,GME,80257.0,GAMESTOP CORP (HLDG CO) CL A,5.38
20190705,36467W109,GME,117361.0,GAMESTOP CORP (HLDG CO) CL A,5.31
20190708,36467W109,GME,1073.0,GAMESTOP CORP (HLDG CO) CL A,5.52
20190717,36467W109,GME,1428781.0,GAMESTOP CORP (HLDG CO) CL A,4.63
20190718,36467W109,GME,308164.0,GAMESTOP CORP (HLDG CO) CL A,4.38
20190719,36467W109,GME,638922.0,GAMESTOP CORP (HLDG CO) CL A,4.20
20190722,36467W109,GME,317108.0,GAMESTOP CORP (HLDG CO) CL A,4.32
20190725,36467W109,GME,6265.0,GAMESTOP CORP (HLDG CO) CL A,4.08
20190729,36467W109,GME,4444.0,GAMESTOP CORP (HLDG CO) CL A,4.01
20190730,36467W109,GME,397061.0,GAMESTOP CORP (HLDG CO) CL A,4.12
20190731,36467W109,GME,232.0,GAMESTOP CORP (HLDG CO) CL A,4.03
20190802,36467W109,GME,83872.0,GAMESTOP CORP (HLDG CO) CL A,3.84
20190807,36467W109,GME,7612.0,GAMESTOP CORP (HLDG CO) CL A,3.81
20190808,36467W109,GME,864.0,GAMESTOP CORP (HLDG CO) CL A,3.81
20190812,36467W109,GME,16768.0,GAMESTOP CORP (HLDG CO) CL A,3.59
20190813,36467W109,GME,5375.0,GAMESTOP CORP (HLDG CO) CL A,3.51
20190814,36467W109,GME,4991.0,GAMESTOP CORP (HLDG CO) CL A,3.47
20190815,36467W109,GME,207619.0,GAMESTOP CORP (HLDG CO) CL A,3.32
20190816,36467W109,GME,4365.0,GAMESTOP CORP (HLDG CO) CL A,3.21
20190819,36467W109,GME,4739.0,GAMESTOP CORP (HLDG CO) CL A,3.32
20190821,36467W109,GME,89899.0,GAMESTOP CORP (HLDG CO) CL A,3.42
20190822,36467W109,GME,4841.0,GAMESTOP CORP (HLDG CO) CL A,3.54
20190823,36467W109,GME,5787.0,GAMESTOP CORP (HLDG CO) CL A,3.87
20190826,36467W109,GME,7799.0,GAMESTOP CORP (HLDG CO) CL A,3.65
20190827,36467W109,GME,54365.0,GAMESTOP CORP (HLDG CO) CL A,3.82
20190828,36467W109,GME,381195.0,GAMESTOP CORP (HLDG CO) CL A,3.70
20190829,36467W109,GME,29720.0,GAMESTOP CORP (HLDG CO) CL A,3.88
20190830,36467W109,GME,81323.0,GAMESTOP CORP (HLDG CO) CL A,4.23
20190903,36467W109,GME,2847.0,GAMESTOP CORP (HLDG CO) CL A,3.97
20190904,36467W109,GME,365.0,GAMESTOP CORP (HLDG CO) CL A,3.81
20190905,36467W109,GME,36.0,GAMESTOP CORP (HLDG CO) CL A,3.98
20190906,36467W109,GME,42335.0,GAMESTOP CORP (HLDG CO) CL A,4.23
20190910,36467W109,GME,21575.0,GAMESTOP CORP (HLDG CO) CL A,4.76
20190911,36467W109,GME,175765.0,GAMESTOP CORP (HLDG CO) CL A,5.09
20190912,36467W109,GME,362635.0,GAMESTOP CORP (HLDG CO) CL A,4.59
20190913,36467W109,GME,66047.0,GAMESTOP CORP (HLDG CO) CL A,4.58
20190916,36467W109,GME,242553.0,GAMESTOP CORP (HLDG CO) CL A,4.41
20190917,36467W109,GME,35953.0,GAMESTOP CORP (HLDG CO) CL A,4.35
20190918,36467W109,GME,19704.0,GAMESTOP CORP (HLDG CO) CL A,4.33
20190919,36467W109,GME,34536.0,GAMESTOP CORP (HLDG CO) CL A,4.60
20190920,36467W109,GME,39687.0,GAMESTOP CORP (HLDG CO) CL A,4.44
20190924,36467W109,GME,749737.0,GAMESTOP CORP (HLDG CO) CL A,5.02
20190925,36467W109,GME,225396.0,GAMESTOP CORP (HLDG CO) CL A,5.01
20190926,36467W109,GME,272674.0,GAMESTOP CORP (HLDG CO) CL A,5.20
20190927,36467W109,GME,563923.0,GAMESTOP CORP (HLDG CO) CL A,5.28
20190930,36467W109,GME,458082.0,GAMESTOP CORP (HLDG CO) CL A,5.34
20191015,36467W109,GME,1240705.0,GAMESTOP CORP (HLDG CO) CL A,5.58
20191016,36467W109,GME,1616440.0,GAMESTOP CORP (HLDG CO) CL A,5.61
20191017,36467W109,GME,1084527.0,GAMESTOP CORP (HLDG CO) CL A,5.88
20191018,36467W109,GME,1026078.0,GAMESTOP CORP (HLDG CO) CL A,6.03
20191021,36467W109,GME,713607.0,GAMESTOP CORP (HLDG CO) CL A,5.94
20191022,36467W109,GME,1180971.0,GAMESTOP CORP (HLDG CO) CL A,5.93
20191023,36467W109,GME,771355.0,GAMESTOP CORP (HLDG CO) CL A,6.39
20191024,36467W109,GME,144029.0,GAMESTOP CORP (HLDG CO) CL A,6.43
20191025,36467W109,GME,56344.0,GAMESTOP CORP (HLDG CO) CL A,6.42
20191028,36467W109,GME,6179.0,GAMESTOP CORP (HLDG CO) CL A,6.35
20191029,36467W109,GME,25403.0,GAMESTOP CORP (HLDG CO) CL A,6.19
20191030,36467W109,GME,56580.0,GAMESTOP CORP (HLDG CO) CL A,5.81
20191031,36467W109,GME,10759.0,GAMESTOP CORP (HLDG CO) CL A,5.73
20191101,36467W109,GME,7461.0,GAMESTOP CORP (HLDG CO) CL A,5.44
20191104,36467W109,GME,140654.0,GAMESTOP CORP (HLDG CO) CL A,5.84
20191105,36467W109,GME,347123.0,GAMESTOP CORP (HLDG CO) CL A,5.85
20191106,36467W109,GME,303103.0,GAMESTOP CORP (HLDG CO) CL A,5.91
20191107,36467W109,GME,379722.0,GAMESTOP CORP (HLDG CO) CL A,6.09
20191108,36467W109,GME,374540.0,GAMESTOP CORP (HLDG CO) CL A,6.22
20191112,36467W109,GME,40498.0,GAMESTOP CORP (HLDG CO) CL A,6.02
20191113,36467W109,GME,78233.0,GAMESTOP CORP (HLDG CO) CL A,5.92
20191114,36467W109,GME,96514.0,GAMESTOP CORP (HLDG CO) CL A,5.94
20191115,36467W109,GME,50331.0,GAMESTOP CORP (HLDG CO) CL A,5.98
20191118,36467W109,GME,55697.0,GAMESTOP CORP (HLDG CO) CL A,5.88
20191119,36467W109,GME,839804.0,GAMESTOP CORP (HLDG CO) CL A,5.62
20191120,36467W109,GME,596189.0,GAMESTOP CORP (HLDG CO) CL A,5.50
20191121,36467W109,GME,213099.0,GAMESTOP CORP (HLDG CO) CL A,5.46
20191122,36467W109,GME,606479.0,GAMESTOP CORP (HLDG CO) CL A,5.50
20191125,36467W109,GME,364297.0,GAMESTOP CORP (HLDG CO) CL A,5.66
20191126,36467W109,GME,419697.0,GAMESTOP CORP (HLDG CO) CL A,6.03
20191127,36467W109,GME,307267.0,GAMESTOP CORP (HLDG CO) CL A,6.10
20191129,36467W109,GME,215774.0,GAMESTOP CORP (HLDG CO) CL A,6.35
20191202,36467W109,GME,236929.0,GAMESTOP CORP (HLDG CO) CL A,6.34
20191203,36467W109,GME,268552.0,GAMESTOP CORP (HLDG CO) CL A,6.17
20191204,36467W109,GME,65407.0,GAMESTOP CORP (HLDG CO) CL A,6.12
20191205,36467W109,GME,325667.0,GAMESTOP CORP (HLDG CO) CL A,6.43
20191206,36467W109,GME,77968.0,GAMESTOP CORP (HLDG CO) CL A,6.40
20191209,36467W109,GME,87317.0,GAMESTOP CORP (HLDG CO) CL A,6.68
