Date,Close/Last,Volume,Open,High,Low
02/05/2024,$3.08,9052761,$3.29,$3.29,$3.03
02/02/2024,$3.43,7861614,$3.56,$3.56,$3.40
02/01/2024,$3.70,22585950,$3.25,$3.86,$3.21
01/31/2024,$3.03,7908122,$3.08,$3.40,$3.0001
01/30/2024,$3.11,7919472,$3.38,$3.445,$3.09
01/29/2024,$3.44,4754726,$3.23,$3.45,$3.10
01/26/2024,$3.20,4658859,$3.33,$3.47,$3.17
01/25/2024,$3.275,4816651,$3.27,$3.29,$3.06
01/24/2024,$3.21,6479931,$3.50,$3.65,$3.19
01/23/2024,$3.55,9315854,$3.36,$3.59,$3.31
01/22/2024,$3.21,11568440,$3.09,$3.3689,$2.99
01/19/2024,$3.03,10721210,$2.81,$3.07,$2.742
01/18/2024,$2.94,7329575,$2.97,$3.12,$2.87
01/17/2024,$2.94,8402443,$2.86,$2.98,$2.805
01/16/2024,$2.99,11898940,$3.17,$3.18,$2.96
01/12/2024,$3.25,12253620,$3.52,$3.695,$3.23
01/11/2024,$3.58,10463510,$3.79,$3.83,$3.52
01/10/2024,$3.89,4589724,$3.90,$3.94,$3.77
01/09/2024,$3.91,6028120,$3.83,$3.97,$3.69
01/08/2024,$3.88,6805212,$3.92,$4.01,$3.775
01/05/2024,$3.965,5267119,$3.98,$4.13,$3.90
01/04/2024,$4.05,7372065,$4.46,$4.46,$4.01
01/03/2024,$4.50,7041511,$4.81,$4.81,$4.32
01/02/2024,$4.88,6695457,$4.77,$5.325,$4.73
12/29/2023,$4.83,5059684,$4.85,$4.925,$4.76
12/28/2023,$4.91,4786468,$4.93,$5.00,$4.82
12/27/2023,$4.925,4993964,$4.82,$4.96,$4.69
12/26/2023,$4.79,6454988,$4.50,$4.89,$4.50
12/22/2023,$4.46,7629839,$4.46,$4.61,$4.355
12/21/2023,$4.48,10422110,$4.54,$4.64,$4.21
12/20/2023,$4.42,11081580,$4.75,$4.87,$4.32
12/19/2023,$4.77,19331950,$4.24,$4.77,$4.22
12/18/2023,$4.22,48033160,$4.69,$5.16,$3.62
