Date,Close/Last,Volume,Open,High,Low
05/08/2024,$15.44,6354938,$15.12,$15.675,$15.08
05/07/2024,$15.49,7141399,$15.92,$15.95,$15.38
05/06/2024,$15.98,4715402,$16.08,$16.38,$15.98
05/03/2024,$15.91,5217095,$16.28,$16.48,$15.81
05/02/2024,$15.94,6743389,$15.27,$15.98,$14.88
05/01/2024,$15.05,6747437,$14.90,$15.50,$14.85
04/30/2024,$14.99,5459084,$15.29,$15.56,$14.97
04/29/2024,$15.77,5212283,$15.96,$16.23,$15.515
04/26/2024,$15.84,5896578,$15.55,$16.125,$15.435
04/25/2024,$15.38,8506980,$15.00,$15.40,$14.685
04/24/2024,$15.09,8793439,$15.57,$15.65,$15.07
04/23/2024,$15.60,8547882,$15.50,$16.20,$15.45
04/22/2024,$15.70,7553568,$16.23,$16.40,$15.66
04/19/2024,$16.15,6452262,$16.00,$16.576,$15.93
04/18/2024,$16.12,6077300,$16.58,$16.785,$16.12
04/17/2024,$16.54,6678951,$16.63,$16.82,$16.205
04/16/2024,$16.56,9300344,$16.46,$17.195,$15.98
04/15/2024,$16.57,9914520,$17.65,$17.86,$16.54
04/12/2024,$17.64,11753220,$18.29,$18.37,$17.35
04/11/2024,$18.54,19275970,$17.86,$18.69,$17.615
04/10/2024,$17.40,6760751,$17.16,$17.46,$16.79
04/09/2024,$17.57,8822722,$16.95,$17.64,$16.93
04/08/2024,$16.82,6757192,$17.22,$17.42,$16.78
04/05/2024,$17.05,11921390,$16.20,$17.10,$16.14
04/04/2024,$16.38,10523530,$16.00,$16.79,$15.94
04/03/2024,$15.77,6969557,$15.57,$15.92,$15.33
04/02/2024,$15.76,7581734,$15.80,$15.85,$15.38
04/01/2024,$16.09,8018069,$15.87,$16.12,$15.595
03/28/2024,$15.91,6991536,$15.76,$16.04,$15.615
03/27/2024,$15.65,9550490,$15.30,$15.69,$15.16
03/26/2024,$15.26,13977510,$15.49,$15.61,$15.08
03/25/2024,$15.42,19170300,$16.50,$16.56,$15.23
03/22/2024,$16.62,13207620,$15.97,$16.6675,$15.65
03/21/2024,$15.92,31848890,$16.75,$17.285,$15.91
03/20/2024,$17.74,20545440,$17.10,$17.755,$16.784
03/19/2024,$16.68,8547878,$16.44,$16.99,$16.25
03/18/2024,$16.84,7448919,$17.59,$17.59,$16.82
03/15/2024,$17.39,6312455,$17.10,$17.59,$17.01
03/14/2024,$17.24,7845373,$18.01,$18.10,$17.03
03/13/2024,$17.99,5316621,$17.80,$18.4701,$17.78
03/12/2024,$17.98,8036462,$18.41,$18.74,$17.97
03/11/2024,$18.25,7681380,$17.71,$18.45,$17.68
03/08/2024,$17.70,6806762,$17.75,$18.24,$17.4096
03/07/2024,$17.50,5526996,$17.33,$17.7197,$17.21
03/06/2024,$17.26,5700148,$17.72,$17.81,$17.02
03/05/2024,$17.37,6750368,$17.41,$17.73,$17.0401
03/04/2024,$17.71,8380566,$17.96,$18.12,$17.555
03/01/2024,$18.03,7886657,$17.71,$18.17,$17.40
02/29/2024,$17.64,8457315,$17.09,$17.736,$17.06
