Date,Close/Last,Volume,Open,High,Low
05/09/2024,$1.70,228837,$1.75,$1.83,$1.62
05/08/2024,$1.80,242710,$1.84,$1.94,$1.7638
05/07/2024,$1.811,462820,$1.89,$2.24,$1.811
05/06/2024,$1.85,333148,$1.92,$2.08,$1.74
05/03/2024,$1.91,1231245,$2.51,$2.8701,$1.8585
05/02/2024,$2.535,131022,$2.42,$2.69,$2.38
05/01/2024,$2.49,99262,$2.51,$2.57,$2.24
04/30/2024,$2.55,224809,$2.57,$2.89,$2.48
04/29/2024,$2.77,1574603,$2.82,$4.46,$2.74
04/26/2024,$2.86,28872,$2.95,$3.21,$2.70
04/25/2024,$2.96,60648,$3.49,$3.49,$2.96
04/24/2024,$3.91,65104,$5.00,$5.008,$3.8027
04/23/2024,$4.5106,378468,$3.80,$6.4099,$3.72
04/22/2024,$4.44,500000,$2.80,$6.75,$2.80
04/19/2024,$2.956,12794,$3.196,$3.272,$2.90
04/18/2024,$2.96,11584,$3.40,$3.40,$2.823
04/17/2024,$3.302,29523,$5.04,$5.04,$2.602
04/16/2024,$4.962,2644,$5.246,$5.246,$4.802
04/15/2024,$5.22,467,$5.16,$5.414,$4.994
04/12/2024,$5.208,2881,$5.42,$5.42,$4.80
04/11/2024,$5.208,570,$5.044,$5.291,$5.044
04/10/2024,$5.044,1631,$5.594,$5.594,$4.994
04/09/2024,$5.252,4638,$5.266,$5.498,$5.04
04/08/2024,$4.974,1693,$5.508,$5.508,$4.924
04/05/2024,$4.90,2125,$5.04,$5.19,$4.882
04/04/2024,$5.004,443,$5.168,$5.168,$4.902
04/03/2024,$5.078,983,$5.076,$5.08,$4.876
04/02/2024,$4.995,1994,$4.90,$5.054,$4.80
04/01/2024,$5.048,1139,$4.996,$5.188,$4.94
03/28/2024,$4.996,1727,$5.006,$5.19,$4.80
03/27/2024,$5.084,1458,$4.854,$5.10,$4.81
03/26/2024,$5.00,4898,$5.00,$5.46,$4.804
03/25/2024,$5.088,5635,$5.16,$5.462,$5.00
03/22/2024,$5.10,1163,$5.28,$5.28,$4.92
03/21/2024,$5.20,3517,$4.918,$5.358,$4.878
03/20/2024,$5.06,571,$5.19,$5.19,$4.82
03/19/2024,$5.096,1207,$5.228,$5.228,$4.60
03/18/2024,$5.00,2885,$5.25,$5.36,$4.80
03/15/2024,$4.998,1784,$4.60,$5.00,$4.60
03/14/2024,$4.61,4522,$5.022,$5.022,$4.592
03/13/2024,$5.00,3235,$5.54,$5.64,$4.926
03/12/2024,$5.383,1470,$5.604,$5.604,$5.16
03/11/2024,$5.604,2491,$5.30,$5.70,$4.684
03/08/2024,$5.262,2214,$5.566,$5.566,$5.02
03/07/2024,$5.32,8967,$5.382,$6.00,$5.20
03/06/2024,$5.326,968,$4.70,$5.398,$4.70
03/05/2024,$4.766,3585,$4.80,$4.86,$4.602
03/04/2024,$4.808,1638,$5.56,$5.56,$4.804
03/01/2024,$5.20,2481,$5.00,$5.20,$4.804
02/29/2024,$5.004,1763,$5.32,$5.32,$4.84
02/28/2024,$5.20,1690,$5.20,$5.20,$5.00
02/27/2024,$5.194,3664,$5.376,$5.60,$4.902
02/26/2024,$5.37,1128,$4.908,$5.398,$4.80
02/23/2024,$4.99,2203,$5.24,$5.24,$4.80
02/22/2024,$4.992,4202,$5.20,$5.60,$4.80
02/21/2024,$5.08,5866,$5.56,$5.56,$5.04
02/20/2024,$5.554,7379,$5.60,$6.04,$5.32
02/16/2024,$5.807,1586,$5.602,$6.00,$5.60
02/15/2024,$5.776,2515,$5.596,$5.80,$5.332
02/14/2024,$5.332,5097,$5.72,$5.74,$5.332
02/13/2024,$5.20,31812,$5.798,$6.98,$5.20
02/12/2024,$5.378,1863,$5.80,$5.80,$5.358
02/09/2024,$5.50,1180,$5.80,$5.88,$5.294
02/08/2024,$5.646,4572,$5.84,$5.84,$5.22
02/07/2024,$5.50,2369,$5.80,$5.80,$5.44
02/06/2024,$5.62,10100,$5.976,$6.20,$5.62
02/05/2024,$6.242,8390,$6.074,$6.378,$5.72
02/02/2024,$6.12,8592,$5.60,$6.40,$5.39
02/01/2024,$5.62,1207,$5.222,$5.62,$5.222
01/31/2024,$5.54,1967,$5.206,$5.848,$5.206
01/30/2024,$5.62,1774,$5.70,$5.70,$5.25
01/29/2024,$5.342,2247,$5.358,$5.736,$5.08
01/26/2024,$5.16,1497,$5.738,$5.738,$5.16
01/25/2024,$5.678,1004,$6.00,$6.00,$5.428
01/24/2024,$5.822,651,$6.04,$6.04,$5.604
01/23/2024,$5.724,1200,$5.70,$5.75,$5.402
01/22/2024,$5.40,6684,$5.00,$5.772,$4.71
01/19/2024,$5.03,2216,$4.688,$5.10,$4.688
01/18/2024,$4.878,1428,$5.10,$5.10,$4.604
01/17/2024,$4.886,4095,$5.10,$5.104,$4.538
01/16/2024,$5.10,6057,$5.68,$5.80,$5.00
01/12/2024,$5.882,600,$6.00,$6.00,$5.6402
01/11/2024,$5.88,1521,$6.18,$6.18,$5.8675
01/10/2024,$6.186,1448,$6.098,$6.40,$6.00
01/09/2024,$5.902,1917,$6.20,$6.20,$5.69
01/08/2024,$6.00,2877,$5.66,$6.25,$5.60
01/05/2024,$5.954,7819,$6.20,$6.58,$5.792
01/04/2024,$6.30,11328,$5.978,$6.5181,$5.87
01/03/2024,$5.749,4096,$5.482,$5.98,$5.482
01/02/2024,$5.60,4355,$5.426,$5.872,$5.40
12/29/2023,$5.288,4491,$5.78,$5.98,$5.288
12/28/2023,$5.512,3627,$5.452,$5.976,$5.208
12/27/2023,$5.43,6636,$5.796,$5.994,$5.344
12/26/2023,$5.522,2289,$5.796,$5.796,$5.28
12/22/2023,$5.266,3788,$5.00,$5.596,$4.89
12/21/2023,$5.20,6098,$4.80,$5.318,$4.694
12/20/2023,$4.776,4842,$5.02,$5.02,$4.60
12/19/2023,$4.90,17789,$4.422,$5.40,$4.422
12/18/2023,$4.52,72160,$4.44,$4.74,$4.28
