Date,Close/Last,Volume,Open,High,Low
04/23/2024,$2.39,5032,$2.30,$2.39,$2.291
04/22/2024,$2.3242,12188,$2.34,$2.3735,$2.3046
04/19/2024,$2.34,7152,$2.38,$2.39,$2.34
04/18/2024,$2.3501,16346,$2.34,$2.38,$2.32
04/17/2024,$2.29,11839,$2.36,$2.36,$2.2702
04/16/2024,$2.35,5817,$2.36,$2.3798,$2.31
04/15/2024,$2.325,42263,$2.36,$2.42,$2.325
04/12/2024,$2.38,8822,$2.50,$2.50,$2.35
04/11/2024,$2.4201,42478,$2.46,$2.5115,$2.341
04/10/2024,$2.465,10569,$2.48,$2.51,$2.465
04/09/2024,$2.5101,18339,$2.54,$2.55,$2.48
04/08/2024,$2.521,9172,$2.50,$2.5749,$2.50
04/05/2024,$2.49,6063,$2.50,$2.57,$2.48
04/04/2024,$2.56,21417,$2.50,$2.60,$2.50
04/03/2024,$2.50,12616,$2.46,$2.52,$2.45
04/02/2024,$2.50,5423,$2.50,$2.55,$2.48
04/01/2024,$2.54,14767,$2.64,$2.64,$2.5045
03/28/2024,$2.57,10972,$2.5433,$2.65,$2.5433
03/27/2024,$2.57,10640,$2.60,$2.66,$2.57
03/26/2024,$2.635,24444,$2.57,$2.66,$2.57
03/25/2024,$2.56,15533,$2.50,$2.62,$2.50
03/22/2024,$2.53,17608,$2.53,$2.5337,$2.49
03/21/2024,$2.51,23291,$2.46,$2.54,$2.46
03/20/2024,$2.4801,9426,$2.474,$2.5199,$2.46
03/19/2024,$2.47,7959,$2.49,$2.5299,$2.46
03/18/2024,$2.48,11957,$2.49,$2.5097,$2.4615
03/15/2024,$2.49,10375,$2.48,$2.51,$2.48
03/14/2024,$2.47,8967,$2.54,$2.54,$2.46
03/13/2024,$2.51,11891,$2.47,$2.55,$2.47
03/12/2024,$2.48,8282,$2.469,$2.52,$2.46
03/11/2024,$2.53,11426,$2.47,$2.5695,$2.4504
03/08/2024,$2.57,10963,$2.52,$2.59,$2.52
03/07/2024,$2.53,15377,$2.56,$2.5784,$2.485
03/06/2024,$2.47,11440,$2.48,$2.50,$2.46
03/05/2024,$2.51,14931,$2.46,$2.5992,$2.46
03/04/2024,$2.5158,63192,$2.54,$2.611,$2.45
03/01/2024,$2.50,36240,$2.50,$2.54,$2.45
02/29/2024,$2.50,51529,$2.60,$2.648,$2.50
02/28/2024,$2.53,34767,$2.66,$2.66,$2.50
02/27/2024,$2.57,9948,$2.60,$2.69,$2.54
02/26/2024,$2.53,20934,$2.50,$2.62,$2.50
02/23/2024,$2.51,24430,$2.53,$2.6183,$2.50
02/22/2024,$2.5499,11444,$2.60,$2.6099,$2.51
02/21/2024,$2.61,20554,$2.65,$2.7397,$2.61
02/20/2024,$2.67,13929,$2.72,$2.79,$2.67
02/16/2024,$2.77,11060,$2.87,$2.8843,$2.74
02/15/2024,$2.80,13013,$2.82,$2.90,$2.7858
02/14/2024,$2.74,14351,$2.7979,$2.83,$2.7202
02/13/2024,$2.7899,7756,$2.77,$2.8999,$2.77
02/12/2024,$2.83,8770,$2.76,$2.8999,$2.76
02/09/2024,$2.84,34605,$2.72,$2.85,$2.72
02/08/2024,$2.75,7202,$2.7552,$2.76,$2.7334
02/07/2024,$2.76,11292,$2.72,$2.78,$2.6955
02/06/2024,$2.825,7111,$2.88,$2.88,$2.72
02/05/2024,$2.73,9385,$2.90,$2.90,$2.7238
02/02/2024,$2.80,25423,$2.82,$2.93,$2.754
02/01/2024,$2.8899,7963,$2.96,$2.96,$2.86
01/31/2024,$2.85,22952,$2.94,$2.98,$2.85
01/30/2024,$2.98,6153,$2.89,$2.9862,$2.89
01/29/2024,$2.99,8731,$2.93,$2.99,$2.89
01/26/2024,$2.9651,6407,$2.98,$2.9911,$2.9301
01/25/2024,$2.90,15986,$2.974,$2.99,$2.90
01/24/2024,$2.97,14709,$2.998,$3.00,$2.95
01/23/2024,$2.97,4756,$2.96,$3.00,$2.96
01/22/2024,$3.03,20538,$2.87,$3.18,$2.87
01/19/2024,$2.98,6961,$2.90,$3.00,$2.90
01/18/2024,$2.99,12077,$2.97,$3.10,$2.9327
01/17/2024,$2.97,8735,$3.0156,$3.0156,$2.89
01/16/2024,$3.045,15799,$3.21,$3.22,$3.0128
01/12/2024,$3.03,6921,$3.07,$3.2025,$3.03
01/11/2024,$3.09,9725,$3.28,$3.2802,$3.07
01/10/2024,$3.26,2651,$3.27,$3.30,$3.2502
01/09/2024,$3.3099,17112,$3.30,$3.34,$3.25
01/08/2024,$3.3175,21396,$3.38,$3.39,$3.22
01/05/2024,$3.40,5944,$3.33,$3.41,$3.33
01/04/2024,$3.34,13273,$3.46,$3.46,$3.3001
01/03/2024,$3.45,19185,$3.41,$3.46,$3.32
01/02/2024,$3.435,8274,$3.36,$3.50,$3.36
12/29/2023,$3.35,14926,$3.55,$3.60,$3.3356
12/28/2023,$3.59,9546,$3.58,$3.64,$3.50
12/27/2023,$3.60,30444,$3.68,$3.7542,$3.60
12/26/2023,$3.69,24064,$3.70,$3.7664,$3.60
12/22/2023,$3.74,8785,$3.65,$3.7888,$3.65
12/21/2023,$3.67,20458,$3.74,$3.87,$3.655
12/20/2023,$3.81,12123,$3.75,$3.8497,$3.71
12/19/2023,$3.7601,8823,$3.79,$3.89,$3.68
12/18/2023,$3.79,17622,$3.77,$3.795,$3.64
12/15/2023,$3.73,44570,$3.72,$3.8599,$3.60
12/14/2023,$3.79,33453,$3.59,$3.92,$3.59
12/13/2023,$3.52,21082,$3.45,$3.606,$3.41
12/12/2023,$3.44,5571,$3.51,$3.51,$3.40
12/11/2023,$3.49,18088,$3.45,$3.50,$3.302
12/08/2023,$3.3701,25406,$3.34,$3.39,$3.1236
12/07/2023,$3.24,9167,$3.21,$3.2899,$3.0914
12/06/2023,$3.25,21195,$3.21,$3.2967,$3.0647
12/05/2023,$3.20,26726,$3.36,$3.36,$3.13
12/04/2023,$3.30,36335,$3.09,$3.31,$3.05
12/01/2023,$3.05,9615,$3.06,$3.08,$2.9701
11/30/2023,$2.94,10712,$3.08,$3.1341,$2.8907
11/29/2023,$3.02,98906,$2.85,$3.1699,$2.85
11/28/2023,$2.81,30786,$2.75,$2.8699,$2.748
11/27/2023,$2.71,16846,$2.73,$2.8008,$2.71
11/24/2023,$2.75,2120,$2.73,$2.8171,$2.6825
11/22/2023,$2.75,5540,$2.70,$2.75,$2.67
11/21/2023,$2.66,7356,$2.76,$2.76,$2.66
11/20/2023,$2.82,23817,$2.71,$2.8521,$2.71
11/17/2023,$2.82,7003,$2.77,$2.84,$2.6319
11/16/2023,$2.70,76233,$2.94,$2.94,$2.6201
