Date,Close/Last,Volume,Open,High,Low
03/01/2024,$4.36,12695470,$4.34,$4.50,$4.23
02/29/2024,$4.32,28656070,$4.46,$4.75,$4.22
02/28/2024,$4.99,28664110,$4.93,$5.10,$4.75
02/27/2024,$4.81,17026500,$4.49,$4.85,$4.485
02/26/2024,$4.45,10444100,$4.46,$4.6101,$4.37
02/23/2024,$4.44,9598604,$4.39,$4.54,$4.28
02/22/2024,$4.42,9668410,$4.66,$4.69,$4.36
02/21/2024,$4.57,8125596,$4.59,$4.815,$4.51
02/20/2024,$4.66,9115678,$4.76,$4.8063,$4.5501
02/16/2024,$4.83,10243210,$4.77,$4.95,$4.62
02/15/2024,$4.89,12504550,$4.80,$5.05,$4.7629
02/14/2024,$4.80,13270830,$4.62,$4.87,$4.47
02/13/2024,$4.49,12040690,$4.37,$4.675,$4.265
02/12/2024,$4.56,15646920,$4.38,$4.72,$4.31
02/09/2024,$4.38,19574090,$4.15,$4.49,$4.1013
02/08/2024,$4.09,10763950,$3.98,$4.16,$3.94
02/07/2024,$3.94,13338830,$4.08,$4.08,$3.84
02/06/2024,$4.07,20769150,$3.65,$4.16,$3.585
02/05/2024,$3.67,19878640,$3.97,$3.98,$3.60
02/02/2024,$4.01,12933900,$4.04,$4.055,$3.93
02/01/2024,$4.06,10616880,$4.10,$4.15,$4.02
01/31/2024,$4.05,14591590,$4.12,$4.32,$4.025
01/30/2024,$4.11,8874381,$4.23,$4.23,$4.08
01/29/2024,$4.27,10971890,$4.11,$4.27,$3.98
01/26/2024,$4.07,11295560,$4.12,$4.26,$4.06
01/25/2024,$4.08,11252930,$4.13,$4.23,$4.07
01/24/2024,$4.13,11173110,$4.40,$4.44,$4.11
01/23/2024,$4.33,12718270,$4.53,$4.72,$4.33
01/22/2024,$4.48,14325910,$4.60,$4.81,$4.43
01/19/2024,$4.51,11258100,$4.50,$4.53,$4.30
01/18/2024,$4.43,17689970,$4.15,$4.44,$4.08
01/17/2024,$4.11,15468010,$4.07,$4.26,$4.01
01/16/2024,$4.21,17836960,$4.54,$4.54,$4.13
